,User,Chat
235,kiss0189076,담원팬이면 개추 ㅋㅋ
236,wjdals0_0,담원ㅎㅇㅌ
237,지는꽃,쵸비없는젠지 한 단어로 설명가능
238,상급과일,한달연봉은 처녀빗치 같은거임
239,새고전학파,담원 수고했다ㅋㅋ
240,김회색,한달 연봉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
241,ngoc_dac,GEN
242,tictvhtw,치킨각이냐?
243,류이츠,용호상박 팀이네.
244,viktttorr,오늘은 볼 만하네
245,털장갑낀메시,채팅창 좀 흐리지 마라 좀
246,yyuurriiaa,자~드가자~
247,yang020202,@aann2007 뭘낳아
248,빅야드,뭔 근원이여
249,홍삼정마일드센스,각인듯
250,silersiler,오늘 담원지면 서울 폭파시킴
251,후우시딘,담원승!!
252,킹쵸비_,드가자
253,regretpass,중국어임 ?
254,thefrlst,젠지에 내 포인트 다 건다
255,세윤,세윤 subscribed with Prime. 
256,호오인_,ㅋㅋㅋ처녀빗치 이카노 ㅋㅋㅋ
257,jczkr2491,담원 그냥 우긍 확정 역체팀 세체팀
258,kikiki0810,젠지 이기겠지
259,duathl789,지금 나오는 노래 뭐야 좋자너~
260,온빛마루,온다
261,dwggod,인터넷에서 막말하는 것도 고소하면 무기징역 2년까지 가능하다
262,손놀림봐라,예? 한달 연봉이요?
263,calintz304,큰거오냐
264,pronopga,G2 win DK cút
265,tsc537797,무관행동vs유관행동
266,역체타벨린저,이게 진짜 치킨매치지 ㅋㅋㅋ
267,gimchigang,적당한거온다
268,gofud0903,^난나나난난^
269,miingreen,ㅈㄴ 기대된다
270,dlfyddn,캬
271,한국파피,지금 나오는 노래 좋네
272,치즈냄비돈까스,큰거온다
273,민트쵸코라뗴,쵸오오오오오오오오오비이이ㅣ
274,드리운푸른언덕에,문열어
275,jczkr2491,팩트) 담원 스프링 우승 하고 그랜드 슬램 예정 역체팀도 담원 세체팀도 담원 미드 정글은 압도적 1황이다
276,haru1gwa,기대가 됩니다!!
277,cozyman06,G2 WIN은 뭐야 ㅋㅋㅋㅋㅋ
278,유수풀,담원가자
279,dkdfgh5692,젠준딱
280,haruki567,GENG PLS WIN CHOKY GET SHOEMAKER GENG PLS WIN CHOKY GET SHOEMAKER
281,양산아재,그래도 쵸비는 한화 떠나서 행복롤 하고 있는거 아니냐?
282,반디팬,그 얘들은 연봉 얼마 받음?
283,iamboy2000,오늘 단군은 아니겠지 ㅋㅋㅋㅋㅋㅋ 칼퇴하면 안돼!!!!!!
284,이제프괴벨스,작은거온다 작은거~
285,ttt1go,담민이 멸망의날 ㅅㅅ
286,쵸비상182,오늘 쵸네 나온다
287,carry64,초비상!!
288,roserose4426,쵸비 화이팅 담민이들 교육 드가자
289,심심한하루임,과연 누가 이길것인가 두둥탁
290,_튀김만두_17,슬로우 모드좀 ㅈㅂ 줄여주세요 매니저님 ㅈㅂ
291,z8860986106914,你好
292,lyhoya,"""12시다 롤갤"""
293,헬로우181818,내가 팩트 알려줄게 쵸비가 쇼메보다 잘했으면 우승했음 ㅇㅇ
294,스마일곰돌,롤드컵 1회 우승팀보고 역체팀이러는거 역겹
295,lol_chungjamsuo,쇼메이커냐 트롤메이커냐 그것이문제로다
296,duathl789,노래 알려줭
297,KickurAss7,큰거온다 존나큰거
298,깨문다람쥐,담원이 3대0으로 바른다
299,jczkr2491,팩트) 담원 우승 확정
300,gimchigang,젠지지면 해체해야지
301,asuka1031,오늘 실버크랩스 나오냐 얘들아
302,얄탁꾸리,이거크냐
303,달콤한밤,쵸오오오오오오오오오네에에에에에에에
304,헉슬리이,우승팀 결정전 ㄷㄷ
305,쵸비상182,트롤메이커 ㄴㄴ 버스메이커
306,웨더1,gd
307,단아,쵸비가 잘함? 쇼메가 잘함?
308,에디선생님,큰거온다
309,_튀김만두_17,감사합니다!
310,roserose4426,@헬로우181818 팩트 세컨드 미드 쵸비 서드 미드 쇼메이커
311,김회색,팩트) T1 우승임...
312,7년째몽정을겪고있는뽀돌이,슬로우모드 개짜증
313,ㄹㅏㅇㅣ언,팩트) 캐니언2인분하면 담원이이김
314,호몽매,담민이들 치워줘요
315,하늘을등진꽃,아무나 이겨라 이기는팀 우리팀
316,에따봉,닥쵸비
317,ggitaek08,근데 20담원은 역체팀이라 할만한거 아닌가
318,만욱킴,5시 정각이죠 ??
319,반디팬,와 담원이랑 t1 만나냐
320,geneggayo,누가 올라와도 티원 상대 안됌
321,happyvelkoz,쵸오오오오오오오비이이ㅣㅣㅣㅣㅣ
322,스마일곰돌,2등 결정전이누 ㅋㅋ
323,gudwn5729,캐니언과 아이들보단 젠지지ㅋㅋㅋ
324,은하제일검,부대찌개면 ㅅㅌㅊ냐?
325,CoyoteBen,LCK Supremacy
326,상급과일,크 쵸비 쇼메이커 가슴이웅장해진다
327,김선후후후시딘,쵸비쵸비
328,얄탁꾸리,이거 큰거임??ㄷㄷ;
329,네옥스,큰거오냐 ?
330,groundworld1,팩트) 이미 젠지 2군 오펠리아한테도 털림
331,khan0411,담원에 느구리가 없으니
332,dwggod,티원은 코로나 아니었음 진짜 어쩔뻔했냐... 티원팬들은 중국쪽으로 하루에 한번 절해라
333,악_어_새,젠지가 이긴다
334,ㄹㅏㅇㅣ언,큰거임
335,반디팬,라이벌 메치전이네
336,_갓낭콩,캐니언 vs 젠지
337,블랑이다,근데 사실 담갈들아 너희도 알지? 젠지가 이기는거 ㅋㅋㅋ
338,ekadnjsdntmd,담웡 보여줘
339,roserose4426,@ggitaek08 T1 역체팀인거 무시하면서 20담원 넣어달라는건 억지지 ㅋㅋㅋ
340,헉슬리이,캐니언 3인분해야 이기긴할듯 ㄹㅇㅋㅋ
341,스마일천사,큰거 오냐?
342,재현3920,큰거온다
343,thefrlst,젠지가 이기던 담원이 이기던 제발 결승에서 티원 짓밟고 우승해라 제발
344,aann2007,한달연봉 700만원 받는게 낳냐 포기하고 무기징역 2년가고 10억 받는게 낳냐
345,SKTgalDosal,누가이김
346,sleepwantsme,큰 거 온 다
347,abcddks,큰 거 오 냐 ?
348,minwoo0869,오늘은 해설진이 플레이메이커를 외칠것인가 쵸오오오비를 외칠것인가
349,vuddls,님들아 누가 이김?
350,순응_,@jczkr2491 담민이 검거 ㄹㅇ 팩트는 0.7k 딜량이지ㅋㅋㅋㅋㅋ
351,함초롬체,담원이 이길거같은데
352,khj8719,쵸비 vs 쇼메 vs 페이커 이 셋중에 가장 낳은 미드 누구죠?
353,sagria04,큰거온다 ㄷㄷㄷㄷㄷㄷㄷ
354,OyoSung,큰거온다
355,한국파피,롤이든 뭐든 채팅은 기본적으로 꺼야되나보다
356,_튀김만두_17,님들 티원 구찌 스폰 들어온거 암?
357,월다_,담민이 멸망의 날
358,유니크빵,쇼메가ㅠ살아났으면
359,수출용뀰주먹,노쇼메이커
360,experience538,20담원도 물로켓이지 ㄹㅇㅋㅋ
361,금빛인장,내가이김
362,무알콜사이다,ㅋㅋ
363,ggitaek08,티원 역체팀인거 인정함 ㅋㅋㅋ 작년까지 위상이 덜 나와서 그렇지
364,헨즈2,쇼메이커 화이팅!!
365,쵸비상182,애초에 원딜에서부터 차이가 날껀데 16대3이야 얘들아 ㅋㅋ
366,얄탁꾸리,ㄷㄷ 2대미드 결정전 ㄷ;;
367,ㄹㅏㅇㅣ언,젠지가 유리한데 담원 쇼메 각성하면 담원이 이길수도?
368,감귤찬,쵸비상!!
369,simok03,미드원탑은 페이커뿐이다.
370,CoyoteBen,Si les toca un equipo latino en fase de grupos dejenlo ganar u.u
371,에따봉,3등이...  말대꾸?
372,yang020202,한달연봉은 자꾸 뭔 빡대가리임
373,지존짭세,속보:담원 너구리 재계약
374,wjdthdgml3,울 허수 화이팅
375,이방원의철퇴축구,국대미드 결정전 시작합니다
376,손놀림봐라,💩  거 오 나
377,cotjd5648,담민이들 오늘 오열각이노 ㅋㅋㅋ
378,palmstearin,^무^
379,sagria04,쇼메 쵸비 ㄷㄷㄷㄷㄷㄷ
380,지온02,담원 젠지2군한테 발렸자나
381,고구말랭이유시,와 이건진짜 레전드매치다
382,레고를밟았네,5꽉 가나???
383,삼육플러스,캐니언 버스도 못받는 쇼메를 아직도 믿냐?
384,kdbestsf,큰거온다
385,calintz304,?
386,이제프괴벨스,아브실들 열심히 채팅창에서 토론중ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
387,dwggod,"20 담원은 진짜 압도적인 느낌이 있었는데, 이번 티원은 좀 운이 따라준다는 느낌이 강했음.. 이건 관련자들도 인정함"
388,yomadayo,쇼메 제이스 오또케 제이스 딜각보단 자기 생존각 먼저보는 오또케 미드
389,kys000506,광고 존나게 올라오네
390,gkqrur100,겜언제함
391,김선후후후시딘,젠지가즈아ㅏㅏㅏ
392,우민2,헐 머임 티원 우승했나요??
393,roserose4426,@이제프괴벨스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
394,달콤한밤,오늘 승부의신 예측 어떻게 나올지 기대된다>< 젠지가 많을까 담원이 많을까
395,experience538,lck 3대 미드 페쵸라 아차차~ 빅라까지
396,변신신발,허~접대전이 꿀잼이지 ㅋㅋ
397,sleepwantsme,캐니언이 양민팀 상대로 압도적인건 맞는데 피넛이 비슷하게 맞춰준다고 치면 이제 다른라인에서 차이가 나는거지
398,신여안,zz
399,한국파피,3등이라도 잘한거는 맞지
400,phsphsphs209,닥젠지
401,_튀김만두_17,빛돌 눈나가 젠지에다가 투표함 lck 승부예측 ㅅㄱ
402,헉슬리이,쵸비 dog같이 우승하는거 딱 한번 보고 싶긴 해 ㄹㅇㅋㅋ
403,vkdnj0515,아브실 ㅋㅋㅋㅋ 골드인증 ㅋㅋㅋㅋ
404,황당이,게임 언제함?
405,vuddls,페이커가 낯냐 쵸비가 낱냐 쇼메이커가 낳냐?
406,ㄹㅏㅇㅣ언,어제 치킨 시켰다가 다리 2개 먹고 경기 끝났는데 오늘은 5꽉가나
407,abcd888888,담원 승4
408,ggitaek08,쇼메 라인전 찍어누르는 픽 했으면
409,왕만두조아,사실실 담원 우승 확정인 수준이라...
410,윤림_,자 드가자
411,choiwill,작은거 온다
412,Surrender_Coach,쵸비 ^무^에서 ^무^
413,재현3920,젠지가 이김
414,단아,덕켈이 룰러 버틸수있나?
415,89111313,큰거온다
416,스마일곰돌,20담원은 빈집 물로켓이지ㅋㄱ
417,green5612,플레이 메이킹 메이커
418,fatgrape12,큰거온다
419,roserose4426,@vkdnj0515 얘는 브론즈네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
420,7년째몽정을겪고있는뽀돌이,쵸비실력에 무슨 우승이냐 ㅋㅋ
421,khj8719,여기있는 애들 한달연봉 200따리아니냐? 불쌍해ㅋㅋㅋㅋㅋ ㅠㅠ
422,행복하고싶네요,우승 확정은 무슨 ㅋㅋ
423,dwggod,"20 담원은 진짜 압도적인 느낌이 있었는데, 이번 티원은 좀 운이 따라준다는 느낌이 강했음.. 이건 관련자들도 인정함 페이커도 인정했고"
424,새고전학파,캬
425,어둑신,담민이들 오열 예정
426,몽똥이,담원 우승확정이라고? 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
427,반디팬,붕어빵 사세요
428,kabeza006,holi
429,rlaqudwns1425,쵸오오오오오오오비
430,isangeon123,진짜. 쵸비가 결승에서 훌쩍훌쩍미드 훌쩍훌쩍하게만들어야지
431,cotjd5648,담민이들 오늘3등하는거보고 풀발하것노ㅋㅋㅋ
432,온빛마루,솔직히 누가 이길지 확신 못하겠다
433,변격동사,어제는진짜 치킨 왔는데 반도 못먹고 끝남
434,sagria04,쵸비 ㅎㅇㅌ
435,쵸비상182,담원 우승 확정 ㅇㅈㄹ ㅈ돌에 0.7ㅐ니언 난쟁이
436,thefrlst,롤 경력 25년차인 내가 볼땐 젠지가 우승이다
437,minwoo0869,과연 어느팀 탑이 똥을 쌀것인가
438,ㄹㅏㅇㅣ언,20담원은 탑이 너구리였잖아
439,palmstearin,0.7ㅐ니언
440,지존짭세,담원은 너구리빨이였지 쇼매팬들아
441,fprince98,오늘 담원 해체전인가요??
442,_튀김만두_17,페이커는 한달 연봉 천만원 넘는다던데
443,주의붓,젠지가 무난하게 이길 것 같은데
444,sleepwantsme,사실 바텀 미드 정글 다 그냥 플레이에따라서 차이 조금 날 수는 있지만 거의 비슷하다고보고 오늘 차이는 탑에서 날 거 같음
445,빌리그레이엄,오늘 재미있겠다ㅏㅏㅏㅏㅏㅏㅏㅏㅏ
446,생각없이사는사람,담원우승 확정인세계는 도대체 어디냐
447,moriya0,쇼메가 쵸비를 라인전에서 누른다고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 올해들은 말중 제일 웃기네
448,sackmms,오늘은 ㄹㅇ 치킨각
449,박지워,자 드개재~~
